name,name_local,category,region,is_veg,serving_desc,serving_g,kcal,protein_g,carb_g,fiber_g,fat_g,sat_fat_g,sugar_g,sodium_mg
Aam panna,,beverage,north,1,1 glass,250,58,0.3,14.0,0.4,0.1,0.0,13.0,120
Banana shake,,beverage,pan-india,1,1 glass,250,104,2.8,18.0,0.9,2.4,1.5,14.0,35
Beer,,beverage,pan-india,1,330 ml,330,43,0.5,3.6,0.0,0.0,0.0,0.0,4
"Black tea / green tea, plain",,beverage,pan-india,1,1 cup,150,1,0.0,0.2,0.0,0.0,0.0,0.0,3
Buttermilk (chaas),,beverage,pan-india,1,1 glass,200,26,1.4,2.6,0.0,1.0,0.6,2.4,140
Coconut water,,beverage,south,1,1 glass,250,19,0.7,3.7,1.1,0.2,0.2,2.6,105
"Cola, regular",,beverage,pan-india,1,330 ml can,330,42,0.0,10.6,0.0,0.0,0.0,10.6,5
Filter coffee with sugar,,beverage,south,1,1 cup,120,72,2.0,10.0,0.0,2.6,1.6,9.0,28
"Lassi, salted",,beverage,punjab,1,1 glass,250,54,2.8,4.4,0.0,2.8,1.8,4.2,220
"Lassi, sweet",,beverage,punjab,1,1 glass,250,108,2.6,16.0,0.0,3.4,2.2,15.0,50
Mango shake,,beverage,pan-india,1,1 glass,250,98,2.4,17.0,0.7,2.4,1.5,15.0,35
Masala chai with sugar,,beverage,pan-india,1,1 cup,150,62,1.8,9.0,0.0,2.2,1.4,8.0,25
"Nimbu pani (salted, no sugar)",,beverage,pan-india,1,1 glass,250,6,0.1,1.4,0.1,0.0,0.0,0.6,220
Nimbu pani (sweet),,beverage,pan-india,1,1 glass,250,42,0.1,10.6,0.1,0.0,0.0,10.4,8
Packaged fruit juice,,beverage,pan-india,1,200 ml,200,50,0.2,12.0,0.2,0.1,0.0,11.4,12
Sugarcane juice,,beverage,pan-india,1,1 glass,250,74,0.2,18.0,0.2,0.1,0.0,17.0,10
Tea without sugar (milk),,beverage,pan-india,1,1 cup,150,28,1.6,2.4,0.0,1.4,0.9,2.2,22
Thandai,,beverage,north,1,1 glass,250,132,3.6,18.0,0.8,5.2,2.4,16.0,40
Whisky / rum (40%),,beverage,pan-india,1,30 ml peg,30,250,0.0,0.0,0.0,0.0,0.0,0.0,1
